signal,exchange_time,order_sent_time,mid_price,slippage,gross_pnl,net_pnl,max_drawdown,peak_pnl,realized_pnl,unrealized_pnl,long_position,short_position,close_long_sent_price,close_long_fill_price,close_short_sent_price,close_short_fill_price,open_short_sent_price,open_short_fill_price,open_long_sent_price,open_long_fill_price,filled_close_long_size,filled_close_short_size,filled_open_short_size,filled_open_long_size,prob_exec,price_aggressiveness,num_of_trades,num_of_opened_trades,num_of_closed_trades,spread_flag
1,2025-01-01 00:00:01,2025-01-01 00:00:00,100.00358,0.0,-0.0014400000000023283,-0.0024400000000023283,0.0,0.0,0.0,-0.0014400000000023283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00555,100.0043,0.0,0.0,0,1,0.7975001074953877,0.7975001074953877,1,1,0,0
0,2025-01-01 00:00:02,,100.00358,0.0,0.004390000000000782,0.003390000000000782,0.0,0.003390000000000782,0.0,0.004390000000000782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:03,,100.010065,0.0,0.0196899999999971,0.018689999999997098,0.0,0.018689999999997098,0.0,0.0196899999999971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:04,,100.025295,0.0,0.01766000000000645,0.016660000000006447,0.0020299999999906504,0.018689999999997098,0.0,0.01766000000000645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:07,,100.0364,0.0,0.039069999999995275,0.038069999999995274,0.0020299999999906504,0.038069999999995274,0.0,0.039069999999995275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:08,,100.04407499999999,0.0,0.03381000000000256,0.03281000000000256,0.005259999999992715,0.038069999999995274,0.0,0.03381000000000256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:09,,100.03938,0.0,0.03960999999999615,0.03860999999999615,0.005259999999992715,0.03860999999999615,0.0,0.03960999999999615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:12,,100.035515,0.0,0.03221999999999525,0.03121999999999525,0.007390000000000896,0.03860999999999615,0.0,0.03221999999999525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:13,,100.037935,0.0,0.013090000000005375,0.012090000000005374,0.026519999999990773,0.03860999999999615,0.0,0.013090000000005375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
0,2025-01-01 00:00:14,,100.0188,0.0,-0.004400000000003956,-0.005400000000003956,0.044010000000000105,0.03860999999999615,0.0,-0.004400000000003956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
